Magnitude,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
7–7.9,18,16,13,12,11,18,14,16,11,18,14,15,13,14,14,10,9,14,12,16,23,19,12,17,11,18,16,6,16,9,9,16
6–6.9,109,96,166,137,146,183,149,120,117,116,146,121,127,140,141,140,142,178,168,144,150,185,108,123,143,127,130,104,117,135,112,140
5–5.9,1617,1457,1498,1426,1542,1318,1222,1113,979,1104,1344,1224,1201,1203,1515,1693,1712,2074,1768,1896,2209,2276,1401,1453,1574,1419,1550,1455,1674,1492,1312,2047
Estimated  Deaths,52056,3210,3920,10096,1634,7980,589,3069,9430,22662,231,21357,1685,33819,298101,87992,6605,708,88708,1790,226050,21942,689,1572,756,9624,1297,1012,4535,244,not avail,not avail
