time,mag,intensidad_max,latitud,longitud,profundidad
2023-05-11 12:48:00,2.5,2,29.9,130.0,10
2023-05-11 12:39:00,3.1,2,29.9,130.0,10
2023-05-11 12:16:00,3.0,1,29.9,130.0,20
2023-05-11 12:14:00,4.4,4,29.9,130.0,20
2023-05-11 12:14:00,4.4,0,29.9,130.0,20
2023-05-11 07:01:00,3.4,2,37.6,137.2,10
2023-05-11 06:15:00,5.2,0,3510.2,14011.1,40
2023-05-11 04:20:00,5.4,5,35.2,140.2,40
2023-05-11 04:19:00,5.4,0,35.2,140.2,40
2023-05-11 01:31:00,7.6,0,15.6,174.6,210
2023-05-10 21:59:00,3.7,1,39.8,141.9,60
2023-05-10 21:58:00,5.1,3,37.6,137.3,10
2023-05-10 21:57:00,5.1,0,37.6,137.3,10
2023-05-10 17:32:00,3.0,2,37.4,137.3,10
2023-05-10 11:24:00,4.1,3,35.7,140.0,70
2023-05-10 11:23:00,4.1,0,35.7,140.0,70
2023-05-10 07:19:00,5.0,4,37.6,137.3,10
2023-05-10 07:18:00,5.0,0,37.6,137.3,10
2023-05-10 03:07:00,4.2,2,39.9,142.3,30
2023-05-10 03:02:00,3.4,1,37.5,137.3,10
2023-05-10 02:43:00,2.9,2,32.8,130.9,10
2023-05-09 23:18:00,1.8,1,37.4,137.3,0
2023-05-09 21:35:00,3.8,2,39.6,142.1,50
2023-05-09 13:26:00,3.7,2,40.9,142.0,60
2023-05-09 11:08:00,4.3,2,37.6,137.3,10
2023-05-09 09:08:00,2.2,1,37.5,137.3,10
2023-05-09 05:20:00,4.3,3,37.5,137.3,10
2023-05-09 05:19:00,4.9,4,37.5,137.3,10
2023-05-09 05:17:00,4.9,0,37.5,137.3,10
2023-05-09 02:42:00,3.4,1,26.4,127.4,50
2023-05-09 02:17:00,2.9,1,37.5,137.3,10
2023-05-08 21:46:00,3.4,1,37.3,141.1,30
2023-05-08 14:59:00,3.8,2,37.5,137.3,10
2023-05-08 12:19:00,3.1,1,37.6,137.3,10
2023-05-08 11:48:00,3.5,2,37.5,137.3,10
2023-05-08 11:08:00,3.7,1,37.2,140.0,120
2023-05-08 09:52:00,1.9,1,37.4,137.4,10
2023-05-07 18:59:00,2.6,2,39.1,140.5,10
2023-05-07 14:38:00,2.6,1,37.5,137.3,10
2023-05-07 14:29:00,2.1,1,37.5,137.4,10
2023-05-07 14:13:00,2.9,1,37.6,137.3,10
2023-05-07 13:40:00,2.5,1,37.5,137.3,10
2023-05-07 11:47:00,3.5,1,37.6,137.3,10
2023-05-07 03:21:00,2.8,1,37.5,137.3,10
2023-05-07 03:07:00,3.3,2,37.5,137.2,10
2023-05-07 01:12:00,3.1,1,37.5,137.3,10
2023-05-06 23:56:00,4.1,2,37.6,137.3,10
2023-05-06 20:17:00,2.9,1,37.6,137.3,10
2023-05-06 19:58:00,2.7,1,37.5,137.3,10
2023-05-06 13:01:00,3.0,1,28.5,129.5,10
2023-05-06 08:50:00,3.0,2,37.5,137.3,10
2023-05-06 06:51:00,3.4,1,37.5,137.3,10
2023-05-06 05:33:00,2.7,1,37.5,137.2,10
2023-05-06 04:46:00,3.1,1,37.5,137.2,10
2023-05-06 02:51:00,5.5,4,41.5,142.1,70
2023-05-06 02:50:00,5.5,0,41.5,142.1,70
2023-05-06 02:25:00,3.1,1,37.6,137.3,10
2023-05-06 01:49:00,1.8,1,37.5,137.3,10
2023-05-06 01:27:00,3.1,1,37.6,137.3,10
2023-05-06 01:06:00,3.7,2,37.5,137.3,10
2023-05-06 01:05:00,4.5,2,43.0,146.3,30
2023-05-06 00:11:00,3.1,1,37.6,137.3,10
2023-05-05 23:50:00,5.9,0,3731.5,13714.1,14
2023-05-05 23:45:00,2.6,1,37.5,137.2,10
2023-05-05 23:29:00,4.0,2,37.5,137.3,10
2023-05-05 23:23:00,4.5,4,37.5,137.2,10
2023-05-05 23:22:00,4.5,0,37.5,137.2,10
2023-05-05 23:09:00,3.7,2,37.5,137.3,10
2023-05-05 22:54:00,3.9,3,37.5,137.3,10
2023-05-05 22:51:00,3.3,2,37.5,137.3,10
2023-05-05 22:49:00,3.6,3,37.5,137.2,10
2023-05-05 22:48:00,3.6,0,37.5,137.2,10
2023-05-05 22:47:00,2.9,1,37.5,137.3,10
2023-05-05 22:38:00,3.6,2,37.5,137.2,10
2023-05-05 22:37:00,4.1,3,37.5,137.3,10
2023-05-05 22:30:00,4.2,3,37.5,137.2,10
2023-05-05 22:29:00,4.2,0,37.5,137.2,10
2023-05-05 22:12:00,3.5,2,37.5,137.3,10
2023-05-05 22:11:00,3.8,3,37.5,137.2,10
2023-05-05 22:07:00,4.1,2,37.5,137.2,10
2023-05-05 22:05:00,3.8,2,37.5,137.2,10
2023-05-05 22:02:00,5.8,5,37.5,137.2,10
2023-05-05 22:01:00,5.8,0,37.5,137.2,10
2023-05-05 21:40:00,2.7,2,34.9,135.4,10
2023-05-05 21:37:00,3.9,2,37.6,137.3,10
2023-05-05 21:31:00,2.7,1,37.5,137.3,10
2023-05-05 21:29:00,4.5,3,39.3,142.1,50
2023-05-05 21:27:00,4.5,0,39.3,142.1,50
2023-05-05 18:33:00,2.8,1,37.5,137.3,10
2023-05-05 18:26:00,3.4,2,37.5,137.3,10
2023-05-05 18:18:00,2.9,1,37.5,137.3,10
2023-05-05 18:15:00,2.2,1,37.5,137.3,10
2023-05-05 17:49:00,3.5,2,37.5,137.3,10
2023-05-05 17:43:00,4.3,3,37.5,137.2,10
2023-05-05 17:42:00,4.3,0,37.5,137.2,10
2023-05-05 17:34:00,2.4,1,37.5,137.3,10
2023-05-05 17:03:00,3.6,1,37.6,137.3,10
