ctt,eid,rdt,ttl,ift,ser,at,anm,acd,cod,mag,maxi,int,json,en_ttl,en_anm
20230511042021,20230511041647,2023-05-11T04:20:00+09:00,震源・震度情報,発表,1,2023-05-11T04:16:00+09:00,千葉県南部,342,+35.2+140.2-40000/,5.4,5+,"[{'code': '12', 'maxi': '5+', 'city': [{'code': '1220600', 'maxi': '5+'}, {'code': '1222500', 'maxi': '5-'}, {'code': '1221800', 'maxi': '4'}, {'code': '1222300', 'maxi': '4'}, {'code': '1222600', 'maxi': '4'}, {'code': '1222900', 'maxi': '4'}, {'code': '1223400', 'maxi': '4'}, {'code': '1223800', 'maxi': '4'}, {'code': '1244100', 'maxi': '4'}, {'code': '1220500', 'maxi': '3'}, {'code': '1244300', 'maxi': '3'}, {'code': '1246300', 'maxi': '3'}, {'code': '1242200', 'maxi': '4'}, {'code': '1242700', 'maxi': '4'}, {'code': '1221000', 'maxi': '3'}, {'code': '1221300', 'maxi': '3'}, {'code': '1223700', 'maxi': '3'}, {'code': '1223900', 'maxi': '3'}, {'code': '1240300', 'maxi': '3'}, {'code': '1242100', 'maxi': '3'}, {'code': '1242300', 'maxi': '3'}, {'code': '1242400', 'maxi': '3'}, {'code': '1242600', 'maxi': '3'}, {'code': '1221500', 'maxi': '2'}, {'code': '1223500', 'maxi': '2'}, {'code': '1223600', 'maxi': '2'}, {'code': '1234200', 'maxi': '2'}, {'code': '1234700', 'maxi': '2'}, {'code': '1240900', 'maxi': '2'}, {'code': '1241000', 'maxi': '2'}, {'code': '1220200', 'maxi': '1'}, {'code': '1234900', 'maxi': '1'}, {'code': '1210600', 'maxi': '4'}, {'code': '1221900', 'maxi': '4'}, {'code': '1210100', 'maxi': '3'}, {'code': '1210200', 'maxi': '3'}, {'code': '1210300', 'maxi': '3'}, {'code': '1210400', 'maxi': '3'}, {'code': '1210500', 'maxi': '3'}, {'code': '1220300', 'maxi': '3'}, {'code': '1220400', 'maxi': '3'}, {'code': '1220700', 'maxi': '3'}, {'code': '1220800', 'maxi': '3'}, {'code': '1221200', 'maxi': '3'}, {'code': '1221600', 'maxi': '3'}, {'code': '1221700', 'maxi': '3'}, {'code': '1222000', 'maxi': '3'}, {'code': '1222100', 'maxi': '3'}, {'code': '1222400', 'maxi': '3'}, {'code': '1222700', 'maxi': '3'}, {'code': '1222800', 'maxi': '3'}, {'code': '1223000', 'maxi': '3'}, {'code': '1223100', 'maxi': '3'}, {'code': '1223200', 'maxi': '3'}, {'code': '1221100', 'maxi': '2'}, {'code': '1222200', 'maxi': '2'}, {'code': '1223300', 'maxi': '2'}, {'code': '1232200', 'maxi': '2'}, {'code': '1232900', 'maxi': '2'}]}, {'code': '13', 'maxi': '4', 'city': [{'code': '1310100', 'maxi': '4'}, {'code': '1310900', 'maxi': '4'}, {'code': '1310200', 'maxi': '3'}, {'code': '1310300', 'maxi': '3'}, {'code': '1310400', 'maxi': '3'}, {'code': '1310500', 'maxi': '3'}, {'code': '1310600', 'maxi': '3'}, {'code': '1310700', 'maxi': '3'}, {'code': '1310800', 'maxi': '3'}, {'code': '1311000', 'maxi': '3'}, {'code': '1311100', 'maxi': '3'}, {'code': '1311200', 'maxi': '3'}, {'code': '1311300', 'maxi': '3'}, {'code': '1311400', 'maxi': '3'}, {'code': '1311500', 'maxi': '3'}, {'code': '1311600', 'maxi': '3'}, {'code': '1311700', 'maxi': '3'}, {'code': '1311800', 'maxi': '3'}, {'code': '1311900', 'maxi': '3'}, {'code': '1312000', 'maxi': '3'}, {'code': '1312100', 'maxi': '3'}, {'code': '1312200', 'maxi': '3'}, {'code': '1312300', 'maxi': '3'}, {'code': '1320800', 'maxi': '3'}, {'code': '1320900', 'maxi': '3'}, {'code': '1320100', 'maxi': '2'}, {'code': '1320300', 'maxi': '2'}, {'code': '1320400', 'maxi': '2'}, {'code': '1320600', 'maxi': '2'}, {'code': '1320700', 'maxi': '2'}, {'code': '1321000', 'maxi': '2'}, {'code': '1321100', 'maxi': '2'}, {'code': '1321200', 'maxi': '2'}, {'code': '1321300', 'maxi': '2'}, {'code': '1321400', 'maxi': '2'}, {'code': '1321900', 'maxi': '2'}, {'code': '1322000', 'maxi': '2'}, {'code': '1322100', 'maxi': '2'}, {'code': '1322200', 'maxi': '2'}, {'code': '1322400', 'maxi': '2'}, {'code': '1322500', 'maxi': '2'}, {'code': '1322900', 'maxi': '2'}, {'code': '1320200', 'maxi': '1'}, {'code': '1321500', 'maxi': '1'}, {'code': '1321800', 'maxi': '1'}, {'code': '1322300', 'maxi': '1'}, {'code': '1322700', 'maxi': '1'}, {'code': '1330300', 'maxi': '1'}, {'code': '1336100', 'maxi': '2'}, {'code': '1338100', 'maxi': '2'}, {'code': '1338200', 'maxi': '1'}, {'code': '1320500', 'maxi': '1'}, {'code': '1322800', 'maxi': '1'}, {'code': '1330500', 'maxi': '1'}, {'code': '1330700', 'maxi': '1'}, {'code': '1336400', 'maxi': '1'}, {'code': '1336200', 'maxi': '1'}, {'code': '1336300', 'maxi': '1'}, {'code': '1340100', 'maxi': '1'}, {'code': '1340200', 'maxi': '1'}]}, {'code': '14', 'maxi': '4', 'city': [{'code': '1410200', 'maxi': '4'}, {'code': '1410400', 'maxi': '4'}, {'code': '1411000', 'maxi': '4'}, {'code': '1411400', 'maxi': '4'}, {'code': '1411500', 'maxi': '4'}, {'code': '1413300', 'maxi': '4'}, {'code': '1410100', 'maxi': '3'}, {'code': '1410300', 'maxi': '3'}, {'code': '1410500', 'maxi': '3'}, {'code': '1410600', 'maxi': '3'}, {'code': '1410700', 'maxi': '3'}, {'code': '1410800', 'maxi': '3'}, {'code': '1410900', 'maxi': '3'}, {'code': '1411100', 'maxi': '3'}, {'code': '1411200', 'maxi': '3'}, {'code': '1411300', 'maxi': '3'}, {'code': '1411600', 'maxi': '3'}, {'code': '1411700', 'maxi': '3'}, {'code': '1411800', 'maxi': '3'}, {'code': '1413100', 'maxi': '3'}, {'code': '1413200', 'maxi': '3'}, {'code': '1413400', 'maxi': '3'}, {'code': '1413600', 'maxi': '3'}, {'code': '1420100', 'maxi': '3'}, {'code': '1420500', 'maxi': '3'}, {'code': '1420700', 'maxi': '3'}, {'code': '1420800', 'maxi': '3'}, {'code': '1421000', 'maxi': '3'}, {'code': '1421300', 'maxi': '3'}, {'code': '1421600', 'maxi': '3'}, {'code': '1421800', 'maxi': '3'}, {'code': '1413500', 'maxi': '2'}, {'code': '1413700', 'maxi': '2'}, {'code': '1420300', 'maxi': '2'}, {'code': '1420400', 'maxi': '2'}, {'code': '1421500', 'maxi': '2'}, {'code': '1430100', 'maxi': '2'}, {'code': '1432100', 'maxi': '2'}, {'code': '1434100', 'maxi': '2'}, {'code': '1434200', 'maxi': '2'}, {'code': '1421200', 'maxi': '3'}, {'code': '1436100', 'maxi': '3'}, {'code': '1415100', 'maxi': '2'}, {'code': '1415200', 'maxi': '2'}, {'code': '1415300', 'maxi': '2'}, {'code': '1420600', 'maxi': '2'}, {'code': '1421100', 'maxi': '2'}, {'code': '1421400', 'maxi': '2'}, {'code': '1421700', 'maxi': '2'}, {'code': '1436200', 'maxi': '2'}, {'code': '1436300', 'maxi': '2'}, {'code': '1436400', 'maxi': '2'}, {'code': '1436600', 'maxi': '2'}, {'code': '1438200', 'maxi': '2'}, {'code': '1438400', 'maxi': '2'}, {'code': '1440100', 'maxi': '2'}, {'code': '1440200', 'maxi': '2'}, {'code': '1438300', 'maxi': '1'}]}, {'code': '08', 'maxi': '3', 'city': [{'code': '0821100', 'maxi': '3'}, {'code': '0821700', 'maxi': '3'}, {'code': '0822700', 'maxi': '3'}, {'code': '0822800', 'maxi': '3'}, {'code': '0822900', 'maxi': '3'}, {'code': '0820300', 'maxi': '2'}, {'code': '0820400', 'maxi': '2'}, {'code': '0820500', 'maxi': '2'}, {'code': '0820700', 'maxi': '2'}, {'code': '0820800', 'maxi': '2'}, {'code': '0821000', 'maxi': '2'}, {'code': '0821900', 'maxi': '2'}, {'code': '0822000', 'maxi': '2'}, {'code': '0822200', 'maxi': '2'}, {'code': '0822300', 'maxi': '2'}, {'code': '0822400', 'maxi': '2'}, {'code': '0823000', 'maxi': '2'}, {'code': '0823100', 'maxi': '2'}, {'code': '0823200', 'maxi': '2'}, {'code': '0823300', 'maxi': '2'}, {'code': '0823400', 'maxi': '2'}, {'code': '0823500', 'maxi': '2'}, {'code': '0844200', 'maxi': '2'}, {'code': '0844300', 'maxi': '2'}, {'code': '0844700', 'maxi': '2'}, {'code': '0852100', 'maxi': '2'}, {'code': '0854200', 'maxi': '2'}, {'code': '0854600', 'maxi': '2'}, {'code': '0856400', 'maxi': '2'}, {'code': '0820100', 'maxi': '2'}, {'code': '0821200', 'maxi': '2'}, {'code': '0821600', 'maxi': '2'}, {'code': '0823600', 'maxi': '2'}, {'code': '0830200', 'maxi': '2'}, {'code': '0820200', 'maxi': '1'}, {'code': '0822100', 'maxi': '1'}, {'code': '0822500', 'maxi': '1'}, {'code': '0822600', 'maxi': '1'}, {'code': '0831000', 'maxi': '1'}, {'code': '0834100', 'maxi': '1'}]}, {'code': '11', 'maxi': '3', 'city': [{'code': '1121000', 'maxi': '3'}, {'code': '1120200', 'maxi': '2'}, {'code': '1120600', 'maxi': '2'}, {'code': '1121600', 'maxi': '2'}, {'code': '1121700', 'maxi': '2'}, {'code': '1123200', 'maxi': '2'}, {'code': '1121200', 'maxi': '1'}, {'code': '1121800', 'maxi': '1'}, {'code': '1134100', 'maxi': '1'}, {'code': '1134200', 'maxi': '1'}, {'code': '1134300', 'maxi': '1'}, {'code': '1134700', 'maxi': '1'}, {'code': '1134800', 'maxi': '1'}, {'code': '1134900', 'maxi': '1'}, {'code': '1136900', 'maxi': '1'}, {'code': '1138100', 'maxi': '1'}, {'code': '1138300', 'maxi': '1'}, {'code': '1110300', 'maxi': '3'}, {'code': '1110500', 'maxi': '3'}, {'code': '1110700', 'maxi': '3'}, {'code': '1110800', 'maxi': '3'}, {'code': '1110900', 'maxi': '3'}, {'code': '1111000', 'maxi': '3'}, {'code': '1120300', 'maxi': '3'}, {'code': '1121400', 'maxi': '3'}, {'code': '1121500', 'maxi': '3'}, {'code': '1122100', 'maxi': '3'}, {'code': '1122200', 'maxi': '3'}, {'code': '1122800', 'maxi': '3'}, {'code': '1123400', 'maxi': '3'}, {'code': '1123500', 'maxi': '3'}, {'code': '1123700', 'maxi': '3'}, {'code': '1110100', 'maxi': '2'}, {'code': '1110200', 'maxi': '2'}, {'code': '1110400', 'maxi': '2'}, {'code': '1110600', 'maxi': '2'}, {'code': '1120100', 'maxi': '2'}, {'code': '1120800', 'maxi': '2'}, {'code': '1121900', 'maxi': '2'}, {'code': '1122300', 'maxi': '2'}, {'code': '1122400', 'maxi': '2'}, {'code': '1122500', 'maxi': '2'}, {'code': '1122700', 'maxi': '2'}, {'code': '1122900', 'maxi': '2'}, {'code': '1123000', 'maxi': '2'}, {'code': '1123100', 'maxi': '2'}, {'code': '1123800', 'maxi': '2'}, {'code': '1124000', 'maxi': '2'}, {'code': '1124100', 'maxi': '2'}, {'code': '1124300', 'maxi': '2'}, {'code': '1124500', 'maxi': '2'}, {'code': '1124600', 'maxi': '2'}, {'code': '1130100', 'maxi': '2'}, {'code': '1132400', 'maxi': '2'}, {'code': '1132600', 'maxi': '2'}, {'code': '1134600', 'maxi': '2'}, {'code': '1144200', 'maxi': '2'}, {'code': '1146400', 'maxi': '2'}, {'code': '1146500', 'maxi': '2'}, {'code': '1120900', 'maxi': '1'}, {'code': '1123300', 'maxi': '1'}, {'code': '1123900', 'maxi': '1'}, {'code': '1124200', 'maxi': '1'}, {'code': '1132700', 'maxi': '1'}, {'code': '1120700', 'maxi': '1'}, {'code': '1136100', 'maxi': '1'}, {'code': '1136200', 'maxi': '1'}, {'code': '1136300', 'maxi': '1'}, {'code': '1136500', 'maxi': '1'}]}, {'code': '22', 'maxi': '3', 'city': [{'code': '2230100', 'maxi': '3'}, {'code': '2220500', 'maxi': '2'}, {'code': '2220800', 'maxi': '2'}, {'code': '2222200', 'maxi': '2'}, {'code': '2222500', 'maxi': '2'}, {'code': '2230200', 'maxi': '2'}, {'code': '2230500', 'maxi': '2'}, {'code': '2230600', 'maxi': '2'}, {'code': '2232500', 'maxi': '2'}, {'code': '2221900', 'maxi': '1'}, {'code': '2230400', 'maxi': '1'}, {'code': '2220300', 'maxi': '2'}, {'code': '2220600', 'maxi': '2'}, {'code': '2220700', 'maxi': '2'}, {'code': '2221000', 'maxi': '2'}, {'code': '2221500', 'maxi': '2'}, {'code': '2234400', 'maxi': '2'}, {'code': '2234100', 'maxi': '1'}, {'code': '2234200', 'maxi': '1'}, {'code': '2210100', 'maxi': '1'}, {'code': '2210200', 'maxi': '1'}, {'code': '2210300', 'maxi': '1'}, {'code': '2221400', 'maxi': '1'}, {'code': '2213200', 'maxi': '1'}, {'code': '2213500', 'maxi': '1'}, {'code': '2221100', 'maxi': '1'}, {'code': '2221300', 'maxi': '1'}, {'code': '2221600', 'maxi': '1'}, {'code': '2222400', 'maxi': '1'}]}, {'code': '09', 'maxi': '2', 'city': [{'code': '0921000', 'maxi': '2'}, {'code': '0920600', 'maxi': '1'}, {'code': '0921300', 'maxi': '1'}, {'code': '0938400', 'maxi': '1'}, {'code': '0920300', 'maxi': '2'}, {'code': '0920400', 'maxi': '2'}, {'code': '0920500', 'maxi': '2'}, {'code': '0920900', 'maxi': '2'}, {'code': '0921600', 'maxi': '2'}, {'code': '0934200', 'maxi': '2'}, {'code': '0934400', 'maxi': '2'}, {'code': '0934500', 'maxi': '2'}, {'code': '0936400', 'maxi': '2'}, {'code': '0938600', 'maxi': '2'}, {'code': '0920100', 'maxi': '1'}, {'code': '0920200', 'maxi': '1'}, {'code': '0920800', 'maxi': '1'}, {'code': '0921500', 'maxi': '1'}, {'code': '0930100', 'maxi': '1'}, {'code': '0934300', 'maxi': '1'}, {'code': '0936100', 'maxi': '1'}]}, {'code': '10', 'maxi': '2', 'city': [{'code': '1020600', 'maxi': '2'}, {'code': '1020700', 'maxi': '2'}, {'code': '1052100', 'maxi': '2'}, {'code': '1052200', 'maxi': '2'}, {'code': '1052300', 'maxi': '2'}, {'code': '1052500', 'maxi': '2'}, {'code': '1020100', 'maxi': '1'}, {'code': '1020200', 'maxi': '1'}, {'code': '1020300', 'maxi': '1'}, {'code': '1020400', 'maxi': '1'}, {'code': '1020500', 'maxi': '1'}, {'code': '1020800', 'maxi': '1'}, {'code': '1021000', 'maxi': '1'}, {'code': '1021100', 'maxi': '1'}, {'code': '1021200', 'maxi': '1'}, {'code': '1034500', 'maxi': '1'}, {'code': '1038400', 'maxi': '1'}, {'code': '1046400', 'maxi': '1'}, {'code': '1052400', 'maxi': '1'}]}, {'code': '15', 'maxi': '2', 'city': [{'code': '1522600', 'maxi': '2'}]}, {'code': '19', 'maxi': '2', 'city': [{'code': '1920900', 'maxi': '2'}, {'code': '1936800', 'maxi': '2'}, {'code': '1920100', 'maxi': '1'}, {'code': '1920500', 'maxi': '1'}, {'code': '1920800', 'maxi': '1'}, {'code': '1921000', 'maxi': '1'}, {'code': '1921100', 'maxi': '1'}, {'code': '1921300', 'maxi': '1'}, {'code': '1921400', 'maxi': '1'}, {'code': '1934600', 'maxi': '1'}, {'code': '1936400', 'maxi': '1'}, {'code': '1936500', 'maxi': '1'}, {'code': '1936600', 'maxi': '1'}, {'code': '1938400', 'maxi': '1'}, {'code': '1920400', 'maxi': '2'}, {'code': '1920600', 'maxi': '2'}, {'code': '1921200', 'maxi': '2'}, {'code': '1942300', 'maxi': '2'}, {'code': '1942400', 'maxi': '2'}, {'code': '1942500', 'maxi': '2'}, {'code': '1943000', 'maxi': '2'}, {'code': '1920200', 'maxi': '1'}, {'code': '1942200', 'maxi': '1'}, {'code': '1942900', 'maxi': '1'}, {'code': '1944200', 'maxi': '1'}, {'code': '1944300', 'maxi': '1'}]}, {'code': '04', 'maxi': '1', 'city': [{'code': '0434100', 'maxi': '1'}]}, {'code': '07', 'maxi': '1', 'city': [{'code': '0720300', 'maxi': '1'}, {'code': '0720500', 'maxi': '1'}, {'code': '0720700', 'maxi': '1'}, {'code': '0721100', 'maxi': '1'}, {'code': '0734400', 'maxi': '1'}, {'code': '0748100', 'maxi': '1'}, {'code': '0750200', 'maxi': '1'}, {'code': '0750400', 'maxi': '1'}, {'code': '0720400', 'maxi': '1'}]}, {'code': '20', 'maxi': '1', 'city': [{'code': '2020600', 'maxi': '1'}, {'code': '2021400', 'maxi': '1'}, {'code': '2021700', 'maxi': '1'}, {'code': '2030300', 'maxi': '1'}, {'code': '2030500', 'maxi': '1'}, {'code': '2032100', 'maxi': '1'}, {'code': '2032300', 'maxi': '1'}, {'code': '2032400', 'maxi': '1'}, {'code': '2041400', 'maxi': '1'}]}]",20230511042021_20230511041647_VXSE5k_1.json,Earthquake and Seismic Intensity Information,Southern Chiba Prefecture
20230511041935,20230511041647,2023-05-11T04:19:00+09:00,震源に関する情報,発表,0,2023-05-11T04:16:00+09:00,千葉県南部,342,+35.2+140.2-40000/,5.4,,[],20230511041935_20230511041647_VXSE52_0.json,Earthquake Information,Southern Chiba Prefecture
20230511041932,20230511041647,2023-05-11T04:19:00+09:00,震度速報,発表,0,2023-05-11T04:16:00+09:00,,,,,5+,"[{'code': '12', 'maxi': '5+', 'city': []}, {'code': '13', 'maxi': '4', 'city': []}, {'code': '14', 'maxi': '4', 'city': []}, {'code': '08', 'maxi': '3', 'city': []}, {'code': '11', 'maxi': '3', 'city': []}, {'code': '22', 'maxi': '3', 'city': []}]",20230511041932_20230511041647_VXSE51_0.json,Seismic Intensity Information,
20230511041832,20230511041647,2023-05-11T04:18:00+09:00,震度速報,発表,0,2023-05-11T04:16:00+09:00,,,,,5+,"[{'code': '12', 'maxi': '5+', 'city': []}, {'code': '13', 'maxi': '4', 'city': []}, {'code': '14', 'maxi': '4', 'city': []}, {'code': '08', 'maxi': '3', 'city': []}, {'code': '11', 'maxi': '3', 'city': []}, {'code': '22', 'maxi': '3', 'city': []}]",20230511041832_20230511041647_VXSE51_0.json,Seismic Intensity Information,
20230511041817,20230511041647,2023-05-11T04:18:00+09:00,震度速報,発表,0,2023-05-11T04:16:00+09:00,,,,,5-,"[{'code': '12', 'maxi': '5-', 'city': []}, {'code': '13', 'maxi': '4', 'city': []}, {'code': '14', 'maxi': '4', 'city': []}, {'code': '08', 'maxi': '3', 'city': []}, {'code': '11', 'maxi': '3', 'city': []}, {'code': '22', 'maxi': '3', 'city': []}]",20230511041817_20230511041647_VXSE51_0.json,Seismic Intensity Information,
20230511013145,20230511010819,2023-05-11T01:31:00+09:00,遠地地震に関する情報,発表,1,2023-05-11T01:02:00+09:00,南太平洋,950,-15.6-174.6-210000/,7.6,,[],20230511013145_20230511010819_VXSE5e_1.json,Distant Earthquake Information,South Pacific Ocean
20230510215952,20230510215351,2023-05-10T21:59:00+09:00,震源・震度情報,発表,1,2023-05-10T21:53:00+09:00,岩手県沿岸北部,210,+39.8+141.9-60000/,3.7,1,"[{'code': '02', 'maxi': '1', 'city': [{'code': '0244500', 'maxi': '1'}]}, {'code': '03', 'maxi': '1', 'city': [{'code': '0320200', 'maxi': '1'}, {'code': '0348400', 'maxi': '1'}, {'code': '0348500', 'maxi': '1'}, {'code': '0320100', 'maxi': '1'}, {'code': '0320500', 'maxi': '1'}, {'code': '0320800', 'maxi': '1'}]}]",20230510215952_20230510215351_VXSE5k_1.json,Earthquake and Seismic Intensity Information,Northern Coast of Iwate Prefecture
20230510215815,20230510215452,2023-05-10T21:58:00+09:00,震源・震度情報,発表,1,2023-05-10T21:54:00+09:00,能登半島沖,495,+37.6+137.3-10000/,5.1,3,"[{'code': '17', 'maxi': '3', 'city': [{'code': '1720500', 'maxi': '3'}, {'code': '1720200', 'maxi': '2'}, {'code': '1720400', 'maxi': '2'}, {'code': '1740700', 'maxi': '2'}, {'code': '1746300', 'maxi': '2'}, {'code': '1720700', 'maxi': '1'}, {'code': '1738400', 'maxi': '1'}, {'code': '1738600', 'maxi': '1'}, {'code': '1746100', 'maxi': '1'}, {'code': '1720100', 'maxi': '1'}, {'code': '1720300', 'maxi': '1'}, {'code': '1720900', 'maxi': '1'}, {'code': '1736100', 'maxi': '1'}]}, {'code': '15', 'maxi': '2', 'city': [{'code': '1522200', 'maxi': '2'}, {'code': '1521600', 'maxi': '1'}, {'code': '1521700', 'maxi': '1'}, {'code': '1522400', 'maxi': '2'}, {'code': '1520200', 'maxi': '1'}, {'code': '1520400', 'maxi': '1'}, {'code': '1520500', 'maxi': '1'}, {'code': '1520800', 'maxi': '1'}, {'code': '1520900', 'maxi': '1'}, {'code': '1521100', 'maxi': '1'}, {'code': '1540500', 'maxi': '1'}, {'code': '1550400', 'maxi': '1'}, {'code': '1510200', 'maxi': '1'}, {'code': '1510600', 'maxi': '1'}, {'code': '1510700', 'maxi': '1'}, {'code': '1510800', 'maxi': '1'}, {'code': '1521300', 'maxi': '1'}, {'code': '1521800', 'maxi': '1'}, {'code': '1522300', 'maxi': '1'}]}, {'code': '16', 'maxi': '1', 'city': [{'code': '1620100', 'maxi': '1'}, {'code': '1620600', 'maxi': '1'}, {'code': '1620700', 'maxi': '1'}, {'code': '1632100', 'maxi': '1'}, {'code': '1632200', 'maxi': '1'}, {'code': '1632300', 'maxi': '1'}, {'code': '1634200', 'maxi': '1'}, {'code': '1634300', 'maxi': '1'}, {'code': '1620200', 'maxi': '1'}, {'code': '1620500', 'maxi': '1'}, {'code': '1620900', 'maxi': '1'}, {'code': '1621000', 'maxi': '1'}, {'code': '1621100', 'maxi': '1'}]}, {'code': '18', 'maxi': '1', 'city': [{'code': '1820800', 'maxi': '1'}]}, {'code': '20', 'maxi': '1', 'city': [{'code': '2060200', 'maxi': '1'}]}]",20230510215815_20230510215452_VXSE5k_1.json,Earthquake and Seismic Intensity Information,Off the Coast of Noto Peninsula
20230510215732,20230510215452,2023-05-10T21:57:00+09:00,震源に関する情報,発表,0,2023-05-10T21:54:00+09:00,能登半島沖,495,+37.6+137.3-10000/,5.1,,[],20230510215732_20230510215452_VXSE52_0.json,Earthquake Information,Off the Coast of Noto Peninsula
20230510215622,20230510215452,2023-05-10T21:56:00+09:00,震度速報,発表,0,2023-05-10T21:54:00+09:00,,,,,3,"[{'code': '17', 'maxi': '3', 'city': []}]",20230510215622_20230510215452_VXSE51_0.json,Seismic Intensity Information,
